""Great Performances"" Cats (1998) : 6625
'burbs, The (1989) : 1632
10,000 BC (2008) : 6876
10th Kingdom, The (2000) : 5878
11'09""01 - September 11 (2002) : 5222
13th Warrior, The (1999) : 2263
2 Fast 2 Furious (Fast and the Furious 2, The) (2003) : 4608
20,000 Leagues Under the Sea (1916) : 7034
20,000 Leagues Under the Sea (1954) : 823
24 Hour Woman, The (1998) : 1989
3 Worlds of Gulliver, The (1960) : 7309
36th Chamber of Shaolin, The (Shao Lin san shi liu fang) (Master Killer) (1978) : 6622
39 Steps, The (1935) : 783
4 Months, 3 Weeks and 2 Days (4 luni, 3 saptamâni si 2 zile) (2007) : 6752
40-Year-Old Virgin, The (2005) : 6190
400 Blows, The (Les quatre cents coups) (1959) : 2188
41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It, The (2010) : 7528
5,000 Fingers of Dr. T, The (1953) : 3410
6th Day, The (2000) : 3190
6th Man, The (Sixth Man, The) (1997) : 4629
7th Voyage of Sinbad, The (1958) : 2535
A-Team, The (2010) : 7531
Abominable Dr. Phibes, The (1971) : 3342
Absent-Minded Professor, The (1961) : 1577
Abyss, The (1989) : 904
Accidental Tourist, The (1988) : 3521
Accused, The (1988) : 3522
Ace in the Hole (Big Carnival, The) (1951) : 2988
Act of Killing, The (2012) : 8251
Addams Family, The (1991) : 1684
Addiction, The (1995) : 131
Adjustment Bureau, The (2011) : 7726
Adventures of Baron Munchausen, The (1988) : 3524
Adventures of Buckaroo Banzai Across the 8th Dimension, The (1984) : 2467
Adventures of Elmo in Grouchland, The (1999) : 2314
Adventures of Felix, The (a.k.a. Funny Felix) (Drôle de Félix) (2000) : 3464
Adventures of Ford Fairlane, The (1990) : 5040
Adventures of Huck Finn, The (1993) : 3929
Adventures of Ichabod and Mr. Toad, The (1949) : 3170
Adventures of Mary-Kate and Ashley, The: The Case of the United States Navy Adventure (1997) : 8070
Adventures of Milo and Otis, The (Koneko monogatari) (1986) : 2277
Adventures of Pinocchio, The (1996) : 671
Adventures of Pluto Nash, The (2002) : 4177
